ID,Direction,StopName,StopCode,Latitude,Longitude,Status,StopType,Routes,Zone
5316,DOWN,nehrunagar depot,304A-D-09,18.6298232,73.820018,Inactive,Secondary,"['335B-D', '376D-D', '302C-D', '302D-D', '323C-D', '310A-D', '326B-D', '323B-D', '304A-D']",Zone 4
5317,UP,nehrunagar depot,304A-U-00,18.6298232,73.820018,Inactive,Secondary,"['344B-U', '376D-U', '310A-U', '304A-U', '335B-U', '331C-U', '331D-U', '302C-U', '323C-U', '323B-U', '302D-U']",Zone 4
5318,UP,gavali matha,304A-U-01,18.6380997,73.8251038,Inactive,Secondary,"['367-U', '367B-U', '304A-U', '304-U']",Zone 4
5319,UP,ganeshnagar telco road,304A-U-02,18.6348067,73.828135,Inactive,Secondary,"['367-U', '367B-U', '304A-U', '304-U']",Zone 4
5320,UP,power house indrayninagar,304A-U-03,18.63161,73.831,Inactive,Secondary,"['367-U', '367B-U', '304A-U', '304-U']",Zone 4
5321,UP,indrayaninagar corner,304A-U-04,18.6287183,73.8336967,Inactive,Secondary,"['367-U', '367B-U', '304A-U', '304-U']",Zone 4
5322,UP,century enka company,304A-U-05,18.6243667,73.8376283,Inactive,Secondary,"['367-U', '367B-U', '304A-U', '304-U']",Zone 4
5323,UP,electronic sadan,304A-U-06,18.6229496,73.8389587,Inactive,Secondary,"['367-U', '367B-U', '304A-U', '304-U']",Zone 4
5324,UP,landewadi,304A-U-07,18.619723,73.841691,Inactive,Secondary,"['344B-U', '367B-U', '304A-U', '362B-U', '331D-U', '367-U', '302C-U', '302-U', '304-U']",Zone 4
5325,UP,agnishamak kendra landewadi,304A-U-08,18.620265,73.8461017,Inactive,Secondary,"['344B-U', '367B-U', '304A-U', '362B-U', '331D-U', '367-U', '302C-U', '302-U', '304-U']",Zone 4
